Criterio;Nivel 1;Nivel 2;Nivel 3;Nivel 4
"Formato y lenguaje:
(10%; máx. 1punto)
Estilo formal/académico";"· Documento sin formato (diferente tipo de letra, tamaño, párrafos con sangría distinta...); 
· Aspecto descuidado;
· Uso continuo de la primera persona para redactar.
· Partes del texto con redacción incomprensible
· Muchas faltas de ortografía y lenguaje coloquial.  
";"· El trabajo tiene formato pero alguna falta de ortografía, gramática o puntuación;
· Puede mejorarse el estilo (utiliza la primera persona en alguna ocasión o lenguaje coloquial).";"· Trabajo con formato y sin errores pero podría mejorarse el estilo o la redacción.
· Se adecúa la forma de expresión habitual en el ámbito académico pero algunas veces cambia de impersonal a plural mayestático)";"· Formato y estilo de redacción elegante y sin errores que facilita la lectura 
· Se adecúa la forma de expresión habitual en el ámbito académico (utiliza siempre el impersonal o el plural mayestático)"
"Estructura/apartados: 
(10%)
· Portada; Resumen; Índice
· Introducción; Justificación; objetivos
· Análisis externo e interno de la empresa
· Conclusiones  
· Limitaciones, principales amenazas y alternativas                                                                                                                                                                                                                                                                                                                           · Referencias bibliográficas";"· No incluye todos los apartados o está mal estructurado;
· No hay coherencia ni relación entre los apartados;
· Muy extenso (>80 pág. sin anexos en un TFE individual, >160 pág. Sin anexos en un TFE grupal) o muy poco (<40 pág.sin anexos en un TFE individual, <60 en un TFE grupal)";"· Incluye todos los apartados aunque falta desarrollo en alguno de ellos.
· Un poco extenso (>70 pág.sin anexos en un TFE individual; >150 pág.sin anexos en un TFE grupal) o un poco escaso (<50 pág.sin anexos en un TFE individual; <70 pág.sin anexos en un TFE grupal)";"· Incluye todos los apartados y están desarrollados, pero falta cohesión o continuidad entre ellos.
· Extensión adecuada (entre 50-70 pág.sin anexos en un TFE individual; entre 70-150 pág. mínimo sin anexos en un TFE grupal)";"· Incluye todos los apartados y existe coherencia y un desarrollo lógico y continuo entre ellos.
· Extensión adecuada (entre 50-70 pág.sin anexos en un TFE individual; entre 70-150 pág. mínimo sin anexos en un TFE grupal)"
"Portada, índice y resumen: 
(1%)";"· La portada no sigue el modelo propuesto por la UNIR;
· No incorpora índice o está mal paginado;
· Sin resumen o el resumen no refleja el contenido del trabajo.
· Sin palabras clave
· El título no refleja el tema del trabajo.";"· Portada oficial pero con alguna errata;
· Incorpora índice pero con uno o dos errores en la paginación; 
· Resumen muy extenso o muy breve
· Resumen de extensión correcta pero  falta información de dos de los aspectos principales (objetivo, metodología y conclusiones);
· El título refleja el tema del trabajo pero puede matizarse";"· Portada oficial sin erratas;
· Índice correcto;
· Resumen con la extensión correcta (150 palabras apróx), aunque podría mejorarse porque falta información de uno de los aspectos principales (objetivo, metodología y conclusiones);
· El título refleja el tema del trabajo.";"· Portada oficial sin erratas;
· Índice correcto;
· El resumen presenta la información necesaria (objetivos, metodología y conclusiones) y tiene la extensión adecuada;
· Incluye también índice de tablas y/o figuras;
· El título refleja el tema del trabajo."
"Introducción/objetivos: 
(4%)";"· No hay presentación ni justificación del problema empresarial;
· No tiene objetivos o están mal formulados; sólo tiene objetivo general, sin específicos; los objetivos no están relacionados con el TFE.
· No hay coherencia entre el proyecto y los objetivos planteados.";"· Presenta el plan pero falta justificación;
· Los objetivos están formulados (generales y específicos) pero falta más relación con el proyecto o son poco realistas";"· El plan está planteado de forma clara y justificada, aunque puede mejorarse (no están suficientemente explícitas las razones que justifican su elaboración)
· Los objetivos están bien formulados, son alcanzables y realistas";"· Plan bien formulado y justificado;
· Los objetivos son correctos y coherentes con el tema, son alcanzables y realistas"
"Proyecto:
(30%)";"1. Realiza un análisis breve y desordenado del entorno general y específico y análisis interno pero no diferencia entre las diferentes variables
2. Las fuentes utilizadas para el análisis del sector/empresa no son relevantes (p.e. periódicos, blogs, opiniones, etc.)
4. No realiza o desarrolla un plan adecuado para la puesta en marcha de su proyecto.
5. No analiza la viabilidad económico-financiera del proyecto con métodos de valoración de inversiones y diferentes ratios económico-financieros, ni analiza los resultados obtenidos en su propuesta.";"1. Realiza un análisis breve pero diferenciando entre entorno general y específico  y análisis interno finalizando con una matriz DAFO o proporciona una base teórica sólida y coherente para respaldar el análisis del problema o proyecto, y presenta una metodología clara y adecuada para abordarlo. 
2. Las fuentes utilizadas para el análisis del sector/empresa son poco relevantes (p.e. periódicos, blogs, opiniones, etc.)
4. Realiza o desarrolla parte pero no todos los planes o apartados necesarios para el desarrollo  de su proyecto. 
5. Analiza la viabilidad económico-financiera del proyecto con métodos de valoración de inversiones pero sin utilizar diferentes ratios económico-financieros o analiza los resultados obtenidos en su propuesta, sin incluir una discusión reflexiva sobre su relevancia y significado.";"1. Realiza un análisis adecuado del entorno general y específico y análisis interno finalizando con una matriz DAFO  o proporciona una base teórica sólida y coherente para respaldar el análisis del problema o proyecto, y presenta una metodología clara y adecuada para abordarlo
2. Las fuentes utilizadas para el análisis del sector/empresa son  relevantes
4. Realiza o desarrolla adecuadamente todos los planes o apartados necesarios para el desarrollo  de su proyecto.
5. Analiza la viabilidad económico-financiera del proyecto con métodos de valoración de inversiones pero sin utilizar diferentes ratios económico-financieros o analiza los resultados obtenidos en su propuesta, sin incluir una discusión reflexiva sobre su relevancia y significado.";"1. Realiza un análisis adecuado del entorno general y específico y análisis interno finalizando con una matriz DAFO  o proporciona una base teórica sólida y coherente para respaldar el análisis del problema o proyecto, y presenta una metodología clara y adecuada para abordarlo
2. Las fuentes utilizadas para el análisis del sector/empresa son  relevantes
4. Realiza Desarrolla adecuadamente todos los planes o apartados necesarios para el desarrollo  de su proyecto. Y en caso de ser necesario utiliza diferentes escenarios para el análisis de la viabilidad necesarios para la puesta en marcha de su proyecto.
5. Analiza la viabilidad económico-financiera del proyecto con métodos de valoración de inversiones utilizando diferentes ratios económico-financieros o analiza los resultados obtenidos en su propuesta,incluyendo una discusión reflexiva sobre su relevancia y significado."
"Fotografías, ilustraciones, tablas, gráficos y figuras: 
(1%)";"· No hay numeración;
· No pone título;
· Hay errores en la información que contiene;
· Están poco elaboradas.
· No se explican, ni se justifican";"· Numeradas, aunque el título no refleja del todo el contenido;
· Contiene alguna errata o no aportan información relevante.
· No indica la fuente, en caso de no ser original.
· La mayor parte están sin justificar ni explicar
";"· Correcta numeración y titulación;
· Sin erratas, aunque alguna de ellas no aporta información relevante 
· Indica la fuente, en caso de no ser original
· La mayor parte están justificadas y explicadas";"· Correcta numeración y titulación;
· Selección adecuada acorde con el contenido del TFE.
· Indica la fuente, en caso de no ser original
· Todas están justificadas y explicadas
· Incorpora leyenda;
· Incluye índice de figuras y tablas;"
"Conclusiones: 
(6%)";"· No hay conclusiones.
· Las conclusiones no responden a los objetivos planteados y no analizan la viabilidad del proyecto";"· Hay apartado de conclusiones pero no responde a todos los objetivos;
· Analizan la viabilidad pero les falta profundidad
";"· Hay apartado de conclusiones que permite conocer si se han conseguido los objetivos;
· Son consecuencia del análisis de viabilidad;
· Sólo presentan los resultados sin mostrar un análisis de los mismos";"· Hay apartado de conclusiones que permite conocer si se han conseguido los objetivos;
· Son consecuencia del análisis de viabilidad;
· Se expresan con terminología propia y muestra un análisis de los resultados obtenidos;"
"Limitaciones, principales amenazas y alternativas:
(5%)";· No hay limitaciones, riesgos y amenazas o no se derivan del proyecto.                                                                                                                                                                                              · No elabora planes de contingencia.;"· Presenta las limitaciones, riesgos y amenazas encontradas para llevar a cabo el proyecto. 
· No elabora planes de contingencia.";· Presenta las limitaciones, riesgos y amenazas encontradas para llevar a cabo el proyecto.                                                                                                                                                                    · Elabora planes de contingencia que no se derivan del proyecto elaborado.;· Presenta las limitaciones, riesgos y amenazas encontradas para llevar a cabo el proyecto.                                                                                                                                                                    · Elabora planes de contingencia adecuados y derivados del proyecto.
"Referencias bibliográficas: 
(3%)";"· No incluye bibliografía; 
· La mayor parte de las citas en el texto no aparece en las referencias bibliográficas y a la inversa;
· No hay coherencia en la forma de citar en el texto y tampoco en la bibliografía.";"· Incluye bibliografía pero falta alguna de las referencias citadas en el texto (máx. 3);
· No utiliza normativa APA pero la forma de citar es coherente a lo largo del documento.";"· Incluye bibliografía y  todas las citas del texto se encuentran en la lista de referencias;
· No utiliza normativa APA pero la forma de citar es coherente a lo largo del documento.";"· Incluye bibliografía ;
· Todas las citas del texto se encuentran la lista de referencias;
· Utiliza normativa APA"
"Presentación del TFE/Exposición:
(10%)";"· El discurso no tiene orden ni estructura, solo presenta ideas poco coherentes;
· No queda claro que ha hecho en el TFE;
· No ha conseguido captar la atención de la audiencia;
· No se ajusta al tiempo establecido.";"· Discurso ordenado pero le falta claridad;
· Algunos apartados están mejor presentados que otros;
· Se ajusta al tiempo establecido.
· Puede mejorar la capacidad de síntesis.";"· Expone las ideas de forma clara y ordenada;
· La comunicación es fluida;
· Se ajusta al tiempo establecido pero puede mejorarse algún apartado.
· Puede mejorar la capacidad de síntesis.";"· Expone las ideas de forma clara y ordenada;
· Demuestra capacidad de síntesis;
· La comunicación es fluida;
· Se ajusta al tiempo establecido; 
· Ha conseguido captar la atención de la audiencia durante toda la presentación."
